ENG_Class,ASL_SIGN_ID,ASL_SIGN_DIR
"a",0,"a_small.gif"
"b",1,"B_small.gif"
"c",2,"C_small.gif"
"d",3,"D_small.gif"
"e",4,"E_small.gif"
"f",5,"F_small.gif"
"g",6,"G_small.gif"
"h",7,"H_small.gif"
"i",8,"I_small.gif"
"j",9,"J_small.gif"
"k",10,"K_small.gif"
"l",11,"L_small.gif"
"m",12,"M_small.gif"
"n",13,"N_small.gif"
"o",14,"O_small.gif"
"p",15,"P_small.gif"
"q",16,"Q_small.gif"
"r",17,"R_small.gif"
"s",18,"S_small.gif"
"t",19,"T_small.gif"
"u",20,"U_small.gif"
"v",21,"V_small.gif"
"w",22,"W_small.gif"
"x",23,"X_small.gif"
"y",24,"Y_small.gif"
"z",25,"Z_small.gif"
"0",26,"0_small.gif"
"1",27,"1_small.gif"
"2",28,"2_small.gif"
"3",29,"3_small.gif"
"4",30,"4_small.gif"
"5",31,"5_small.gif"
"6",32,"6_small.gif"
"7",33,"7_small.gif"
"8",34,"8_small.gif"
"9",35,"9_small.gif"
" ",36,"Space_small.gif"